solved_date,avg_total_time,avg_waiting_time,avg_frt
2024-04-15,216.14864864864862,213.63513513513513,193.12162162162156
2024-04-16,831.02904564315361,809.24896265560142,750.16182572614116
2024-04-17,1171.8635294117646,1153.1835294117636,1081.9011764705879
2024-04-18,612.20994475138059,575.1353591160215,480.16022099447565
2024-04-19,719.23529411764741,667.26989619377116,459.46020761245688
2024-04-20,766.97196261682222,598.2710280373833,497.26168224299067
2024-04-21,861.89201877934238,777.7652582159626,652.99530516431923
2024-04-22,1654.1602787456436,1269.400696864112,675.4494773519159
2024-04-23,1551.0526315789468,1052.7935222672063,589.24696356275319
2024-04-24,2045.2768361581925,1363.1920903954801,548.73446327683621
2024-04-25,2756.5903614457834,1439.2289156626509,731.44578313253021
2024-04-26,1209.0833333333333,789.9814814814813,530.94444444444423
2024-04-27,2922.8148148148148,935.85185185185173,460.48148148148147
2024-04-28,2628.2837837837828,980.20270270270282,637.20270270270271
2024-04-29,2942.0714285714284,1854.6309523809521,673.5238095238094
2024-04-30,1905.381355932203,1242.3135593220334,391.64406779661005
